tp_pt,pt_br
pysá,puçá
popyxuara,pulseira
inĩ,rede_de_dormir
posanga(m),remédio
apeibaoba,saia_de_jangada
toréaoba,saia_de_toré
pyuru,sapato
pyaoba,bota
kamasoiaba,sutiã
moromombytá,acolhimento
irũ,amigo
tausupara,amigo
temiausuba,amigo
temimboe,aluno
mimboe,aluno
tekoporanga,arte
tekomombeguaba,auditório
moromboesaba,aula
nhemboesaba,aula
iekuapaba,aviso
iasukaba,banheiro
kunhataĩiasukaba,banheiro_de_meninas
kunumĩiasukaba,banheiro_de_meninos
yguaba,bebedouro
kuatiaroka,biblioteca
apykaba,cadeira
cerurá,celular
ytyuru,cesto_de_lixo
tekokuapaba,ciência
irũ,colega
iruguasu,colega
irumirĩ,colega
mbaepapasaba,computador
iekokaba,corrimão
miumoiypaba,cozinha
nhemboesabaparaba,disciplina
mosanongabĩ,enfermaria
teikeaba,entrada
ieupisaba,escada
tatamonguepaba,extintor_de_incêndio
poranduba,história
mimboeraroana,inspetor
okembysá,janela
yty,lixo
mbabasaba,matemática
miumoiypara,merendeira
karuapeba,mesa
poranduba,narrativa
okara,pátio
moromboesarusu,gestor_diretor
tapixara,parente
moromboesara,professor
mboesara,professor
okena,porta
karuaba,refeitório
boiauba,robô
sembaba,saída
koty,sala
itamaraká,sino
itamarakapú,som_do_sino
moropytyboana,secretário
iruguasu,tio
atuasaba,aliado
poru,antropofagia
ieguakaba,artesanato
nhemongaraiba,se_consagrar
terokaba,acréscimo_ou_troca_de_nome
nhemoiasukaba,batismo
guarará,bombo
nheengara,cantos
mendasaba,casamento
kaatimbora,catimbó
petymbuaba,catimbó
kauĩ,cauim
tupãrerobiara,crença_em_deus
poraseia,dança
poraseitara,dançador
moromotimbora,defumação
mbaemotimbora,defumação
angaraíba,encantados
anguera,encantados
teombuera,sepultamento
tymbaba,enterro
ierobiara,fé
toryba,festa
mimby,flauta
taangaiekuapaba,grafismos
mbaemopusara,instrumentos
jurema,jurema
juremá,jurema
maraká,maraca_ou_maracá
tupãmongetá,oração
ieruresaba,oração
kyreymbaba,padroeiro
taroana,padroeiro
paié,pajé
pajé,pajé
karaimonhanga,pajelança
moromombuepaba,pajelança
tembiumoiaoka,partilha_de_alimento
ianipakuatiara,pintura_de_jenipapo
ianipaguera,pintura_por_se_sujar
nheengaryiara,puxador_de_cantos
ieruresaba,reza
tekomonhangaba,rito
tekomonhangaba,ritual
torypaba,ritual
amandaba,roda
ianypaba,tinta_de_jenipapo
guararámopusara,tocador_de_bumbo
mimbypysara,tocador_de_flauta
marakámopusara,tocador_de_maracá
iuremaroba,folha_da_jurema
sobĩetá,folhinhas
oioirundykekatuaba,quatro_elementos
